COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,target
93,35,66,154.0,59,6,142.0,46,18,128,162.0,304.0,120.0,64,5,13,197,202,opel
101,48,107,222.0,68,10,208.0,32,24,154,232.0,641.0,204.0,70,5,38,190,202,opel
87,38,85,177.0,61,8,164.0,40,20,129,186.0,402.0,130.0,63,1,25,198,205,opel
100,46,90,172.0,67,9,157.0,43,20,150,170.0,363.0,184.0,67,17,7,192,200,van
82,44,72,118.0,52,7,152.0,44,19,147,174.0,340.0,177.0,82,2,2,180,185,bus
90,48,86,306.0,126,49,153.0,44,19,156,272.0,346.0,200.0,118,0,15,185,194,van
106,53,98,176.0,54,10,216.0,31,24,171,235.0,691.0,218.0,74,1,9,187,197,saab
81,45,68,169.0,73,6,151.0,44,19,146,173.0,336.0,186.0,75,7,0,183,189,bus
95,48,104,214.0,67,9,205.0,32,23,151,227.0,628.0,202.0,74,5,9,186,193,opel
88,37,51,105.0,52,5,119.0,57,17,128,135.0,207.0,125.0,86,8,16,179,183,van
94,49,87,137.0,54,11,158.0,43,20,162,178.0,366.0,186.0,75,5,5,183,194,van
93,37,76,183.0,63,8,164.0,40,20,134,191.0,405.0,139.0,67,4,7,192,197,saab
119,54,106,220.0,65,12,213.0,31,24,167,223.0,675.0,232.0,66,20,1,192,202,saab
93,46,82,145.0,58,11,159.0,43,20,160,180.0,371.0,189.0,77,2,4,183,194,van
91,43,70,133.0,55,8,130.0,51,18,146,159.0,253.0,156.0,70,1,8,190,194,van
85,42,66,122.0,54,6,148.0,46,19,141,172.0,317.0,174.0,88,6,14,180,182,bus
89,47,81,147.0,64,11,156.0,44,20,163,170.0,352.0,188.0,76,6,13,184,193,van
91,45,79,176.0,59,9,163.0,40,20,148,184.0,404.0,179.0,62,0,10,199,208,saab
78,38,63,115.0,51,6,142.0,47,19,130,162.0,299.0,146.0,77,2,4,181,185,saab
92,38,71,174.0,66,7,154.0,43,19,133,181.0,355.0,130.0,70,4,24,189,195,saab
98,55,101,228.0,70,9,210.0,31,24,168,236.0,661.0,245.0,72,1,6,188,197,opel
101,42,62,175.0,67,6,149.0,43,19,139,169.0,341.0,165.0,65,7,11,202,209,bus
101,56,104,185.0,53,6,257.0,26,28,168,275.0,956.0,230.0,83,5,26,180,184,bus
94,36,66,151.0,61,8,133.0,50,18,135,154.0,265.0,119.0,62,9,3,201,208,van
97,44,96,195.0,63,9,185.0,36,22,144,202.0,512.0,165.0,66,4,8,191,199,saab
89,47,84,133.0,55,11,157.0,44,20,160,169.0,354.0,176.0,74,5,9,182,192,van
107,53,103,221.0,66,11,209.0,32,24,163,222.0,653.0,212.0,66,0,1,191,201,opel
85,39,68,119.0,52,5,128.0,53,18,135,148.0,241.0,142.0,75,8,8,182,187,van
103,50,98,212.0,63,9,193.0,34,22,161,214.0,567.0,185.0,64,5,5,198,204,opel
77,38,63,135.0,59,5,130.0,52,18,130,145.0,247.0,139.0,79,13,21,183,187,opel
96,40,70,120.0,50,8,137.0,50,18,141,162.0,269.0,139.0,80,10,13,183,183,van
83,42,66,156.0,67,7,150.0,45,19,144,174.0,333.0,159.0,78,4,2,182,188,bus
93,45,86,201.0,69,7,184.0,35,22,145,203.0,523.0,183.0,72,0,4,194,197,bus
89,41,75,143.0,56,7,146.0,46,19,137,170.0,317.0,156.0,76,18,5,184,188,opel
81,43,68,125.0,57,8,149.0,46,19,146,169.0,323.0,172.0,83,6,18,179,184,bus
98,55,101,219.0,69,11,225.0,30,25,178,231.0,748.0,216.0,74,6,14,187,195,opel
86,44,78,164.0,68,9,142.0,46,18,147,168.0,305.0,171.0,70,1,11,190,201,van
98,49,84,219.0,74,7,190.0,34,22,154,208.0,558.0,209.0,74,4,7,195,195,bus
96,55,98,161.0,54,10,215.0,31,24,175,226.0,683.0,221.0,76,3,6,185,193,opel
97,59,108,227.0,70,11,224.0,30,25,186,225.0,732.0,218.0,70,10,25,186,198,opel
92,39,91,191.0,62,8,176.0,37,21,137,196.0,466.0,151.0,67,3,23,192,200,opel
73,37,53,111.0,54,6,126.0,55,18,128,135.0,227.0,147.0,82,1,15,176,184,opel
89,42,89,147.0,61,11,151.0,44,19,145,170.0,338.0,163.0,72,11,23,187,199,van
101,53,103,203.0,63,9,195.0,34,22,162,210.0,571.0,210.0,68,5,5,191,198,opel
91,39,83,170.0,60,8,172.0,38,21,134,197.0,445.0,152.0,72,0,10,188,194,saab
86,40,62,140.0,62,7,150.0,45,19,133,165.0,330.0,173.0,82,2,3,180,185,saab
104,52,94,208.0,66,5,208.0,31,24,161,227.0,666.0,218.0,76,11,4,193,191,bus
89,44,68,113.0,50,7,150.0,45,19,147,171.0,328.0,189.0,88,6,5,179,182,bus
87,46,71,159.0,66,6,151.0,44,19,146,175.0,343.0,189.0,73,2,0,186,190,bus
99,51,92,203.0,65,5,209.0,31,24,159,232.0,671.0,214.0,78,5,11,191,189,bus
94,36,68,127.0,54,7,127.0,52,18,132,155.0,242.0,116.0,66,1,2,195,196,van
79,40,80,133.0,55,7,147.0,47,19,135,172.0,311.0,144.0,76,8,30,181,193,opel
89,40,76,188.0,76,7,150.0,44,19,136,174.0,342.0,148.0,72,3,8,193,197,bus
110,58,106,180.0,51,6,261.0,26,28,171,278.0,998.0,257.0,83,9,13,181,182,bus
89,41,84,141.0,58,9,149.0,45,19,145,172.0,330.0,162.0,72,4,18,188,200,van
86,37,60,115.0,54,5,119.0,56,17,132,141.0,209.0,129.0,72,2,8,186,190,van
91,42,84,209.0,75,6,171.0,38,20,138,189.0,446.0,161.0,69,3,12,196,201,bus
80,37,57,116.0,55,6,125.0,54,18,125,142.0,229.0,132.0,81,8,5,178,184,opel
104,55,107,222.0,68,11,218.0,31,24,173,232.0,703.0,229.0,71,3,10,188,199,saab
94,38,84,158.0,55,9,169.0,39,20,130,196.0,430.0,155.0,69,9,15,190,195,opel
104,52,100,191.0,59,9,197.0,33,23,158,218.0,583.0,234.0,70,10,10,191,198,saab
94,48,87,162.0,64,10,157.0,43,20,161,179.0,363.0,186.0,75,4,15,184,195,van
84,45,66,154.0,65,6,145.0,46,19,144,168.0,312.0,177.0,73,2,3,184,188,bus
97,50,108,211.0,65,10,214.0,31,24,156,232.0,683.0,218.0,72,7,29,188,197,opel
89,42,80,151.0,62,6,144.0,46,19,139,166.0,308.0,170.0,74,17,13,185,189,saab
86,43,68,152.0,62,7,150.0,44,19,142,179.0,337.0,164.0,75,4,9,188,192,bus
95,46,105,219.0,68,9,201.0,33,23,148,223.0,602.0,201.0,69,5,38,191,202,opel
87,44,65,124.0,56,6,149.0,46,19,144,170.0,321.0,171.0,87,4,12,179,182,bus
82,45,66,252.0,126,52,148.0,45,19,144,237.0,326.0,185.0,119,1,1,181,185,bus
95,42,85,174.0,66,9,153.0,44,19,144,168.0,347.0,150.0,65,11,5,196,204,van
94,42,68,150.0,64,7,128.0,52,18,143,154.0,246.0,159.0,69,14,5,192,196,van
92,38,60,130.0,62,5,114.0,58,17,132,135.0,194.0,137.0,72,14,5,190,194,van
102,45,83,198.0,65,5,194.0,33,22,146,225.0,576.0,167.0,79,0,27,193,191,bus
108,53,103,202.0,64,10,220.0,30,25,168,224.0,711.0,214.0,73,11,10,188,199,saab
99,46,105,209.0,64,11,197.0,34,23,152,212.0,575.0,159.0,65,0,33,194,205,opel
85,39,77,151.0,59,8,150.0,45,19,134,176.0,331.0,133.0,73,0,16,184,193,opel
80,44,68,135.0,59,8,150.0,45,19,145,170.0,329.0,173.0,80,7,12,180,185,bus
99,48,79,199.0,68,6,185.0,35,22,153,202.0,524.0,171.0,74,5,8,195,195,bus
89,40,77,159.0,65,9,144.0,46,19,141,168.0,314.0,143.0,70,0,5,190,200,van
94,48,83,162.0,64,10,156.0,43,19,153,177.0,357.0,187.0,74,4,14,185,196,van
77,38,75,144.0,59,6,147.0,46,19,132,167.0,315.0,136.0,80,16,20,181,187,opel
88,35,50,121.0,58,5,114.0,59,17,122,132.0,192.0,138.0,74,21,4,182,187,opel
93,43,85,133.0,54,10,155.0,44,19,153,174.0,351.0,165.0,75,12,13,184,196,van
95,47,88,162.0,64,11,159.0,43,20,157,176.0,371.0,185.0,71,12,13,189,198,van
100,45,100,209.0,65,8,201.0,32,23,147,231.0,611.0,189.0,72,5,5,189,195,opel
109,53,109,221.0,69,12,221.0,31,25,169,226.0,712.0,212.0,72,13,28,188,201,saab
85,43,64,128.0,56,8,150.0,46,19,144,168.0,324.0,173.0,82,9,14,180,184,bus
93,49,79,180.0,65,7,173.0,37,21,158,189.0,463.0,194.0,70,5,10,197,202,bus
89,37,54,119.0,53,5,134.0,50,18,127,151.0,266.0,146.0,79,16,14,184,185,saab
90,48,78,142.0,59,11,160.0,43,20,160,173.0,370.0,185.0,76,10,11,183,192,van
92,40,82,163.0,63,9,146.0,45,19,140,165.0,319.0,137.0,64,9,0,199,206,van
90,36,57,130.0,57,6,121.0,56,17,127,137.0,216.0,132.0,68,22,23,190,195,saab
85,45,71,150.0,63,8,143.0,46,19,147,171.0,307.0,179.0,72,2,3,187,196,van
90,46,80,143.0,62,11,159.0,43,20,156,169.0,366.0,186.0,74,17,7,185,193,van
89,42,70,148.0,62,7,147.0,45,19,143,176.0,323.0,153.0,76,2,6,186,189,bus
85,41,66,155.0,65,22,149.0,45,19,139,173.0,330.0,155.0,75,6,16,184,191,bus
97,45,88,173.0,67,10,157.0,43,20,157,173.0,365.0,157.0,67,8,12,192,200,van
100,48,95,209.0,68,7,199.0,32,23,150,216.0,605.0,200.0,73,7,11,192,194,bus
100,46,104,184.0,60,9,197.0,34,23,147,222.0,578.0,198.0,73,13,13,189,197,saab
86,36,77,165.0,60,7,150.0,45,19,128,174.0,331.0,131.0,66,0,32,196,203,saab
97,42,101,186.0,59,9,186.0,36,22,138,208.0,511.0,168.0,67,7,41,194,206,saab
98,39,68,121.0,49,7,134.0,51,18,142,164.0,261.0,134.0,75,4,1,186,186,van
102,54,100,163.0,53,10,213.0,31,24,173,219.0,669.0,201.0,76,12,27,187,195,opel
89,47,83,322.0,133,48,158.0,43,20,163,229.0,364.0,176.0,97,0,14,184,194,van
86,48,75,136.0,58,10,161.0,43,20,163,170.0,371.0,185.0,75,3,1,183,192,van
87,42,64,150.0,64,10,133.0,50,18,142,157.0,264.0,159.0,67,7,1,193,201,van
88,37,63,130.0,58,5,125.0,54,18,130,141.0,230.0,145.0,74,14,20,184,188,saab
91,42,80,162.0,66,8,148.0,44,19,145,171.0,331.0,147.0,70,3,5,189,199,van
90,37,80,171.0,58,9,157.0,42,20,132,172.0,373.0,115.0,60,3,18,201,209,saab
81,42,63,125.0,55,8,149.0,46,19,145,166.0,320.0,172.0,86,7,7,179,182,bus
106,49,107,194.0,57,11,214.0,31,24,161,224.0,670.0,172.0,67,0,39,192,206,opel
80,43,68,120.0,54,8,150.0,45,19,145,171.0,329.0,176.0,85,4,8,179,183,bus
95,45,80,186.0,62,7,164.0,40,20,145,188.0,406.0,178.0,65,11,18,199,204,opel
103,54,107,218.0,64,12,222.0,30,25,174,221.0,728.0,199.0,67,0,18,189,200,opel
100,46,85,164.0,64,11,163.0,42,20,163,176.0,387.0,170.0,71,18,0,189,196,van
91,40,76,171.0,67,7,149.0,44,19,135,169.0,332.0,144.0,68,4,17,192,200,bus
90,43,72,172.0,59,8,154.0,42,19,144,174.0,360.0,158.0,61,15,9,203,209,saab
93,36,64,165.0,69,8,136.0,49,18,136,161.0,279.0,127.0,67,2,29,193,204,van
104,50,96,211.0,65,10,187.0,35,22,156,207.0,527.0,195.0,65,3,7,195,206,saab
94,44,84,216.0,74,6,184.0,35,22,145,208.0,525.0,154.0,73,4,22,196,197,bus
93,35,72,172.0,62,7,149.0,44,19,124,169.0,334.0,125.0,62,5,30,203,210,opel
106,49,106,211.0,64,9,208.0,32,24,158,224.0,645.0,184.0,68,1,24,190,202,saab
89,40,79,154.0,64,9,144.0,46,19,139,168.0,311.0,149.0,71,8,7,188,197,van
110,56,103,223.0,64,5,250.0,26,27,169,280.0,928.0,239.0,85,4,6,184,183,bus
85,36,78,149.0,55,7,147.0,45,19,128,168.0,321.0,134.0,64,10,24,197,203,opel
93,42,70,131.0,56,7,127.0,53,18,145,156.0,240.0,152.0,74,5,4,189,190,van
87,39,74,152.0,58,6,151.0,44,19,136,174.0,337.0,140.0,70,1,33,187,196,saab
91,45,75,154.0,57,6,150.0,44,19,146,170.0,335.0,180.0,66,16,2,193,198,opel
82,38,53,125.0,59,5,133.0,51,18,128,152.0,259.0,146.0,87,0,0,177,183,opel
107,52,101,218.0,64,11,202.0,33,23,164,219.0,610.0,192.0,65,17,2,197,206,opel
98,39,81,191.0,64,9,166.0,40,20,138,184.0,415.0,131.0,62,8,19,197,205,saab
85,40,72,139.0,59,5,132.0,50,18,135,159.0,260.0,150.0,68,3,9,191,195,saab
98,54,104,186.0,59,10,213.0,32,24,172,223.0,665.0,217.0,73,1,26,186,195,opel
103,54,91,179.0,57,11,220.0,31,25,170,220.0,707.0,198.0,72,1,32,186,198,opel
92,36,78,165.0,57,8,153.0,43,19,128,169.0,349.0,124.0,60,4,19,203,211,saab
110,51,104,191.0,57,12,213.0,31,24,162,226.0,674.0,190.0,68,18,2,191,199,saab
82,45,68,139.0,64,6,147.0,46,19,143,169.0,320.0,184.0,80,0,1,181,184,bus
98,38,70,125.0,52,8,130.0,53,18,139,157.0,243.0,132.0,74,0,13,186,185,van
108,51,103,197.0,60,11,211.0,31,24,160,222.0,661.0,187.0,67,7,3,190,200,opel
106,54,103,161.0,47,4,247.0,27,27,166,266.0,892.0,242.0,85,4,11,181,183,bus
94,45,81,166.0,67,9,145.0,46,19,147,164.0,313.0,179.0,66,11,14,194,202,van
96,49,98,187.0,59,6,213.0,31,24,152,228.0,680.0,210.0,77,8,28,188,189,bus
93,48,84,150.0,63,11,156.0,44,20,165,171.0,354.0,188.0,73,8,15,185,195,van
88,40,78,186.0,73,6,158.0,41,20,134,185.0,379.0,148.0,73,1,11,193,197,bus
84,39,90,180.0,60,7,177.0,37,21,131,209.0,469.0,145.0,71,4,38,190,198,opel
89,44,72,160.0,66,7,144.0,46,19,147,166.0,312.0,169.0,69,11,1,191,198,bus
93,37,73,174.0,68,7,151.0,43,19,131,175.0,347.0,135.0,68,1,22,196,205,bus
89,44,70,137.0,58,6,136.0,49,18,146,168.0,273.0,166.0,78,10,3,186,187,van
102,54,106,221.0,68,11,207.0,32,24,164,228.0,638.0,238.0,71,0,26,189,200,saab
78,36,60,116.0,56,6,123.0,55,17,124,141.0,221.0,121.0,78,3,16,178,185,opel
91,42,66,169.0,66,7,145.0,44,19,140,169.0,325.0,159.0,67,4,0,201,207,bus
84,35,53,122.0,57,4,116.0,59,17,123,135.0,196.0,128.0,76,10,27,183,190,saab
103,46,106,209.0,66,10,203.0,33,23,149,217.0,612.0,210.0,70,9,10,191,199,saab
100,41,75,205.0,71,5,176.0,36,21,138,204.0,479.0,151.0,72,7,19,197,197,bus
91,42,81,193.0,69,5,169.0,38,20,137,184.0,434.0,156.0,68,3,23,198,204,bus
98,45,76,166.0,60,7,157.0,42,20,148,184.0,371.0,186.0,69,13,10,190,196,opel
101,51,105,212.0,68,10,209.0,32,24,162,222.0,653.0,224.0,73,5,23,186,195,opel
90,36,78,179.0,64,8,157.0,42,19,126,182.0,367.0,142.0,66,1,20,192,198,opel
97,48,94,198.0,63,9,181.0,36,21,155,200.0,494.0,189.0,64,20,11,199,203,opel
87,40,81,162.0,68,10,146.0,46,19,139,167.0,317.0,157.0,70,0,13,189,199,van
93,43,76,149.0,57,7,149.0,44,19,143,172.0,335.0,176.0,69,14,0,189,194,saab
107,55,98,199.0,59,7,240.0,27,26,168,258.0,866.0,245.0,80,3,1,186,184,bus
92,37,86,167.0,60,7,158.0,42,20,131,181.0,373.0,144.0,68,9,21,190,196,saab
86,43,66,130.0,56,7,152.0,44,19,142,177.0,340.0,173.0,81,6,14,181,185,bus
107,56,104,231.0,71,11,219.0,31,25,172,226.0,705.0,217.0,71,19,11,189,196,saab
82,44,72,150.0,64,7,154.0,44,19,144,181.0,350.0,177.0,80,0,16,183,187,bus
81,46,71,130.0,56,7,153.0,44,19,149,172.0,342.0,191.0,81,3,14,180,186,bus
82,44,72,136.0,61,7,147.0,46,19,143,173.0,317.0,183.0,81,6,17,181,185,bus
93,47,85,163.0,66,11,156.0,44,20,158,172.0,355.0,178.0,74,7,15,183,195,van
90,36,74,171.0,60,8,157.0,42,19,128,177.0,367.0,123.0,61,6,21,197,204,saab
111,54,103,171.0,50,11,221.0,30,25,172,227.0,727.0,201.0,69,15,6,190,198,opel
103,55,100,194.0,62,11,212.0,31,24,175,217.0,666.0,219.0,73,10,14,187,194,opel
89,40,58,137.0,58,7,122.0,54,17,140,146.0,225.0,150.0,63,7,4,199,206,van
87,47,81,149.0,62,9,147.0,45,19,152,171.0,325.0,181.0,72,0,6,188,198,van
92,46,79,176.0,64,8,162.0,41,20,149,183.0,396.0,178.0,67,2,10,191,198,opel
85,42,64,121.0,55,7,149.0,46,19,146,167.0,323.0,172.0,85,1,6,179,182,bus
86,46,70,149.0,65,8,149.0,45,19,146,170.0,331.0,185.0,77,6,6,183,188,bus
101,56,100,168.0,55,11,214.0,31,24,175,219.0,681.0,224.0,74,2,3,185,192,opel
94,39,89,194.0,62,9,172.0,38,21,135,191.0,444.0,121.0,63,4,23,201,209,opel
86,37,69,150.0,63,8,138.0,48,18,134,163.0,284.0,124.0,71,1,6,189,195,van
90,41,71,169.0,68,7,150.0,44,19,138,175.0,336.0,157.0,71,3,18,192,197,bus
104,49,89,168.0,54,4,212.0,31,24,153,238.0,682.0,198.0,78,1,23,190,189,bus
89,36,72,141.0,56,7,138.0,48,18,126,163.0,286.0,130.0,72,1,1,187,192,opel
90,39,86,169.0,62,7,162.0,41,20,131,194.0,388.0,147.0,74,1,22,185,191,opel
84,44,77,150.0,59,5,152.0,44,19,143,175.0,344.0,177.0,77,8,2,183,187,saab
104,57,103,216.0,69,11,219.0,30,25,176,228.0,708.0,219.0,73,4,3,186,196,opel
83,44,68,144.0,61,8,147.0,45,19,143,170.0,325.0,180.0,74,1,1,185,191,bus
85,39,57,126.0,56,6,114.0,58,17,135,134.0,195.0,145.0,64,17,7,197,202,van
99,55,101,206.0,62,13,222.0,30,25,180,225.0,722.0,213.0,71,2,3,186,196,opel
88,44,85,139.0,56,11,157.0,43,20,155,176.0,363.0,175.0,76,5,16,184,195,van
100,50,81,197.0,67,6,186.0,34,22,158,206.0,531.0,198.0,74,6,1,197,198,bus
81,44,72,139.0,60,6,153.0,44,19,146,180.0,347.0,178.0,81,1,15,182,186,bus
86,41,66,133.0,56,6,136.0,49,18,136,155.0,274.0,162.0,74,5,14,183,189,saab
93,41,79,159.0,63,8,144.0,46,19,150,165.0,309.0,134.0,67,4,9,195,203,van
107,54,98,210.0,66,11,218.0,31,24,169,221.0,704.0,216.0,71,14,0,188,197,saab
94,35,66,147.0,62,9,131.0,50,18,127,159.0,258.0,115.0,66,8,7,196,201,van
105,54,106,215.0,68,10,208.0,32,24,166,217.0,640.0,218.0,69,14,23,189,199,saab
86,41,64,148.0,61,5,150.0,45,19,138,165.0,333.0,173.0,80,5,8,182,185,saab
85,35,47,110.0,55,3,117.0,57,17,122,136.0,203.0,139.0,89,5,9,180,184,van
85,33,40,115.0,57,3,112.0,61,17,119,130.0,184.0,127.0,86,12,21,181,183,saab
81,44,68,120.0,53,6,151.0,45,19,147,170.0,333.0,178.0,86,4,5,179,183,bus
100,52,104,189.0,59,10,208.0,32,24,163,220.0,642.0,197.0,70,1,22,187,198,saab
93,42,64,158.0,68,9,134.0,49,18,142,163.0,268.0,170.0,71,7,13,192,201,van
90,48,78,134.0,56,11,160.0,43,20,167,169.0,366.0,185.0,76,1,14,182,192,van
96,37,74,199.0,74,5,165.0,39,20,128,188.0,419.0,136.0,72,1,3,196,200,bus
85,45,65,128.0,56,8,151.0,45,19,145,170.0,332.0,186.0,81,1,10,179,184,bus
100,55,101,189.0,57,10,222.0,30,25,177,225.0,731.0,211.0,71,7,17,188,197,opel
79,47,74,141.0,61,7,153.0,43,19,149,175.0,349.0,199.0,77,6,10,183,189,bus
89,36,77,172.0,62,8,157.0,42,19,125,174.0,367.0,126.0,63,5,22,198,205,opel
93,45,73,164.0,59,7,159.0,42,20,146,182.0,379.0,188.0,65,11,15,195,201,opel
85,42,59,132.0,58,7,149.0,46,19,144,166.0,320.0,172.0,83,8,4,179,182,bus
101,55,108,228.0,69,12,215.0,31,24,168,229.0,684.0,214.0,71,2,16,188,199,saab
85,47,75,121.0,53,9,157.0,44,20,165,168.0,358.0,176.0,77,1,7,182,191,van
93,41,75,124.0,51,7,140.0,49,18,141,164.0,284.0,149.0,77,5,15,184,185,van
95,36,73,191.0,73,6,156.0,41,19,126,184.0,374.0,124.0,71,2,19,199,204,bus
91,39,83,176.0,59,7,169.0,39,20,132,190.0,426.0,142.0,67,0,24,192,199,saab
103,55,103,211.0,65,11,212.0,31,24,165,229.0,673.0,249.0,72,5,16,188,196,opel
85,34,53,127.0,58,6,116.0,58,17,121,137.0,197.0,127.0,70,3,20,185,189,saab
95,38,66,126.0,52,8,133.0,52,18,140,158.0,253.0,140.0,78,11,8,184,183,van
104,58,103,230.0,69,11,219.0,30,25,176,231.0,716.0,246.0,71,7,4,187,196,opel
84,44,80,140.0,58,11,156.0,44,20,157,166.0,349.0,176.0,74,5,17,183,193,van
94,43,68,170.0,67,6,142.0,46,18,142,164.0,310.0,177.0,65,10,8,198,203,bus
93,47,85,161.0,65,12,155.0,43,19,157,179.0,354.0,178.0,76,2,9,184,196,van
112,50,110,186.0,56,11,214.0,31,24,159,232.0,676.0,203.0,71,18,27,191,202,saab
91,36,77,157.0,56,7,155.0,42,19,126,177.0,361.0,123.0,65,8,15,195,201,saab
92,43,69,158.0,56,7,149.0,44,19,143,170.0,333.0,168.0,63,14,18,198,203,opel
99,48,104,196.0,63,10,201.0,33,23,152,221.0,604.0,199.0,73,8,4,188,197,saab
98,58,101,208.0,65,12,226.0,30,25,182,225.0,748.0,216.0,71,6,1,185,196,opel
83,37,54,118.0,55,4,129.0,52,18,127,146.0,245.0,140.0,81,4,13,180,184,saab
91,39,88,189.0,63,9,175.0,38,21,132,197.0,457.0,156.0,69,0,23,191,198,saab
89,40,60,131.0,56,6,118.0,56,17,137,143.0,209.0,153.0,65,10,8,193,199,van
89,35,70,138.0,58,7,126.0,53,17,128,147.0,237.0,112.0,64,4,19,199,207,van
103,49,100,194.0,60,10,185.0,35,22,160,202.0,518.0,178.0,62,13,8,198,208,saab
80,45,71,128.0,56,7,151.0,45,19,147,171.0,337.0,176.0,79,3,16,181,187,bus
86,42,65,116.0,53,6,152.0,45,19,141,175.0,335.0,172.0,85,5,4,179,183,bus
100,46,81,187.0,61,9,166.0,40,20,154,189.0,415.0,175.0,63,13,9,198,207,saab
86,39,60,140.0,60,7,119.0,55,17,134,140.0,212.0,141.0,61,7,8,200,207,van
83,37,62,113.0,53,6,122.0,55,17,129,143.0,218.0,135.0,79,0,7,181,185,van
82,45,68,150.0,69,5,148.0,45,19,144,169.0,322.0,184.0,80,5,0,181,184,bus
93,47,88,200.0,66,7,173.0,38,21,151,197.0,452.0,205.0,66,0,3,195,202,saab
91,43,88,157.0,61,9,149.0,45,19,157,165.0,326.0,140.0,64,1,26,197,207,van
96,45,80,162.0,63,9,146.0,46,19,148,161.0,316.0,161.0,64,5,10,199,207,van
107,57,106,179.0,51,8,257.0,26,28,172,275.0,954.0,232.0,83,2,20,181,184,bus
